taxon,aoo,eoo
"Jupunba filamentosa",808,270469
"Jupunba langsdorffii",676,1204457
"Jupunba piresii",112,1124221
"Jupunba rhombea",4,4
"Jupunba turbinata",152,2583800
"Jupunba villifera",16,178635
"Jupunba villosa",140,271034
"Lathyrus acutifolius",4,4
"Lathyrus hasslerianus",80,1373740
"Lathyrus hookeri",4,4
"Lathyrus paraguariensis",24,35746
"Lathyrus parodii",12,3173
"Leptolobium araguaiense",16,13610
"Leptolobium bijugum",416,270533
"Leptolobium brachystachyum",180,123452
"Leptolobium dasycarpum",1996,3683087
"Leptolobium elegans",772,1912785
"Leptolobium glaziovianum",36,103462
"Leptolobium multijugum",8,8
"Leptolobium nitens",312,3651932
"Leptolobium parvifolium",32,118480
"Leptolobium tenuifolium",44,44746
"Leucochloron foederale",16,313
"Leucochloron limae",28,155990
"Leucochloron minarum",24,88823
"Luetzelburgia amazonica",20,5975
"Luetzelburgia andradelimae",100,208856
"Luetzelburgia auriculata",912,3360863
"Luetzelburgia guaissara",156,253408
"Luetzelburgia guianensis",8,10
"Luetzelburgia harleyi",8,8
"Luetzelburgia neurocarpa",8,2
"Luetzelburgia purpurea",100,197946
"Luetzelburgia trialata",48,14891
"Lupinus coriaceus",52,5118
"Lupinus decurrens",8,8
"Lupinus dusenianus",8,8
"Lupinus laevigatus",4,4
"Lupinus linearis",8,8
"Lupinus ovalifolius",,
"Lupinus parvifolius",32,5800
"Lupinus prouvensalanus",,
"Lupinus russellianus",4,4
"Machaerium acutifolium",328,2401166
"Machaerium androvillosum",8,8
"Machaerium aureiflorum",80,1432143
"Machaerium brasiliense",100,1997897
"Machaerium cantarellianum",204,206968
"Machaerium caratinganum",72,105836
"Machaerium condensatum",240,416018
"Machaerium debile",216,633853
"Machaerium declinatum",176,290959
"Machaerium firmum",80,17829
"Machaerium floridum",44,177688
"Machaerium froesii",108,1172180
"Machaerium fulvovenosum",180,503231
"Machaerium glabrum",68,75933
"Machaerium gracile",76,112967
"Machaerium hatschbachii",168,115104
"Machaerium hirtum",2436,6468287
"Machaerium incorruptibile",184,755694
"Machaerium inundatum",232,4265484
"Machaerium jobimianum",56,161399
"Machaerium lanceolatum",428,1382276
"Machaerium legale",28,11558
"Machaerium leucopterum",180,550893
"Machaerium macaense",72,2283
"Machaerium mucronulatum",64,317794
"Machaerium nigrum",136,187772
"Machaerium nyctitans",1980,1841532
"Machaerium oblongifolium",972,3408861
"Machaerium obovatum",72,483
"Machaerium opacum",744,1070336
"Machaerium ovalifolium",172,1211412
"Machaerium paraguariense",692,2082959
"Machaerium pedicellatum",256,502129
"Machaerium punctatum",284,657112
"Machaerium reticulatum",60,133473
"Machaerium robsonianum",144,220215
"Machaerium ruddianum",144,1612923
"Machaerium sericiflorum",56,95691
"Machaerium ternatum",84,130912
"Machaerium tortipes",16,12124
"Machaerium uncinatum",420,1441469
"Machaerium villosum",1184,3372808
"Macrolobium brevense",60,1336077
"Macrolobium cidii",16,23481
"Macrolobium conjunctum",8,8
"Macrolobium cowanii",16,21957
"Macrolobium duckeanum",52,695690
"Macrolobium froesii",8,8
"Macrolobium furcatum",4,4
"Macrolobium latifolium",496,155895
"Macrolobium longipedicellatum",32,547446
"Macrolobium montanum",8,8
"Macrolobium palustre",8,8
"Macrolobium prancei",24,87609
"Macrolobium rigidum",176,94707
"Macrolobium urupaense",12,17020
"Macropsychanthus glaber",512,6136465
"Macrosamanea macrocalyx",12,278
"Macrosamanea prancei",16,2630
"Mantiqueira bella",68,95157
"Martiodendron fluminense",56,16828
"Martiodendron mediterraneum",428,4812125
"Melanoxylon brauna",552,1022664
"Mimosa acroconica",32,201
"Mimosa adamantina",32,421
"Mimosa adenocarpa",292,2477284
"Mimosa adenotricha",96,28327
"Mimosa afranioi",28,286867
"Mimosa albolanata",292,346804
"Mimosa antrorsa",104,363885
"Mimosa apodocarpa",132,584742
"Mimosa aurivillus",472,506171
"Mimosa balduinii",8,8
"Mimosa barretoi",52,2601
